Run ReferenceCount
SRR2067530 25
SRR2067536 25
SRR2064283 25
SRR2067496 25
SRR2067478 25
SRR2067526 25
SRR2064281 25
SRR2130032 86
SRR2130011 86
SRR2130033 86
SRR2130004 86
SRR2130045 86
SRR2130043 86
SRR2135924 77
SRR2135958 84
SRR2135966 77
SRR2135919 85
SRR2135926 81
SRR2135920 85
SRR2135957 80
SRR2135964 80
SRR2135950 82
SRR2135933 80
SRR2135942 80
SRR2135930 82
SRR2135956 80
SRR2135945 79
SRR2135959 79
SRR2135941 78
SRR2135996 81
SRR2135937 79
SRR2135955 80
SRR2135967 79
SRR2135912 85
SRR2135960 81
SRR2135909 85
SRR2135906 85
SRR2135923 80
SRR2135935 80
SRR2135952 81
SRR2135915 85
SRR2135969 80
SRR2135993 81
SRR2135911 85
SRR2135907 85
SRR2136015 82
SRR2135902 85
SRR2135938 81
SRR2136002 83
SRR2135925 82
SRR2135953 79
SRR2135962 81
SRR2135940 80
SRR2135948 82
SRR2135944 81
SRR2136018 81
SRR2136006 80
SRR2136001 81
SRR2136009 82
SRR2135976 82
SRR2135939 81
SRR2135934 79
SRR2135922 81
SRR2135992 52
SRR2135970 77
SRR2135954 80
SRR2135997 84
SRR2135943 79
SRR2135972 81
SRR2136005 84
SRR2136008 81
SRR2136007 80
SRR2136012 83
SRR2136011 83
SRR2135918 85
SRR2135917 84
SRR2135921 80
SRR2135949 82
SRR2135963 82
SRR2135947 78
SRR2135994 82
SRR2135913 85
SRR2135916 85
SRR2135965 81
SRR2136019 81
SRR2135961 80
SRR2136020 80
SRR2136016 81
SRR2136017 80
SRR2135975 81
SRR2136003 81
SRR2135987 78
SRR2135951 81
SRR2135932 80
SRR2135904 85
SRR2135974 80
SRR2135998 81
SRR2135914 85
SRR2135928 81
SRR2136010 84
SRR2135999 84
SRR2135991 82
SRR2135984 82
SRR2135936 83
SRR2136004 84
SRR2135931 81
SRR2135985 82
SRR2135986 81
SRR2135988 80
SRR2135982 82
SRR2135973 81
SRR2135971 81
SRR2136000 79
SRR2135905 85
SRR2135927 80
SRR2135980 83
SRR2135908 85
SRR2135995 82
SRR2135981 82
SRR2135929 81
SRR2135989 80
SRR2135990 80
SRR2135903 85
SRR2135968 82
SRR2136013 82
SRR2136014 83
SRR2135978 79
SRR2135946 79
SRR2135910 85
SRR2135983 81
SRR2135977 82
SRR2135979 81
SRR2172448 24
SRR2172449 24
SRR2177036 24
SRR2177037 24
SRR2175408 24
SRR2175415 24
SRR2175416 24
SRR2175406 24
SRR2175414 24
SRR2175412 24
SRR2175410 24
SRR2175404 24
SRR2175400 24
SRR2175418 24
SRR2175407 24
SRR2175417 24
SRR2175403 24
SRR2846339 24
SRR2175420 24
SRR2175409 24
SRR2175411 24
SRR2846539 24
SRR2175402 24
SRR2175405 24
SRR2175401 24
SRR2846422 24
SRR2175413 24
SRR2175419 24
SRR2176965 25
SRR2176958 25
SRR2176957 25
SRR2176956 25
SRR2176963 25
SRR2176962 25
SRR2176964 25
SRR2176955 25
SRR2176961 25
SRR2176960 25
SRR2176959 25
SRR2176966 25
SRR2176971 25
SRR2176978 25
SRR2176980 25
SRR2176995 25
SRR2176979 25
SRR2176993 25
SRR2176994 25
SRR2176989 25
SRR2176984 25
SRR2176970 25
SRR2177007 25
SRR2176981 25
SRR2177000 25
SRR2176986 25
SRR2177001 25
SRR2176999 25
SRR2176975 25
SRR2177002 25
SRR2176990 25
SRR2176991 25
SRR2177006 25
SRR2177009 25
SRR2176992 25
SRR2176987 25
SRR2177008 25
SRR2177003 25
SRR2176988 25
SRR2176997 25
SRR2176968 25
SRR2176974 25
SRR2177004 25
SRR2176983 25
SRR2176973 25
SRR2176985 25
SRR2177005 25
SRR2177011 25
SRR2176982 25
SRR2177010 25
SRR2176972 25
SRR2176969 25
SRR2176976 25
SRR2176998 25
SRR2176977 25
SRR2176967 25
SRR2176996 25
SRR2994651 24
SRR2192701 24
SRR3000811 24
SRR2192703 24
SRR2994653 24
SRR2994654 24
SRR2246550 24
SRR2994655 24
SRR2246468 24
SRR2246306 24
SRR2246430 24
SRR3000812 24
SRR2246445 24
SRR2994652 24
SRR2246420 24
SRR2246439 24
SRR2246504 24
SRR2246391 24
SRR2246452 24
SRR2503775 89
SRR2503773 90
SRR2503777 88
SRR2503769 87
SRR2503771 89
SRR2503776 91
SRR2503772 92
SRR2503768 87
SRR2503767 91
SRR3067477 25
SRR3067481 25
SRR3067482 25
SRR3067483 25
SRR3067478 25
SRR3067479 25
SRR3067480 25
SRR3384112 23
